num,parentCategory,serviceOffering,serviceSlug,kind,diyStatus,riskLevel,guidanceType,primaryDiyGuide,existingGuide,existingGuideStatus,safetyReview,arabicReview,professionalFallback,reason,primaryGuideLogic,ambiguous
280,"Oven Maintenance / Repair","Oven Uneven Heating","oven-uneven-heating",child,RED,red,professional-recommended,"TBD",no,none,required,required,required,"Heating fault diagnosis — professional",C,no
281,"Oven Maintenance / Repair","Oven Temperature Problem","oven-temperature-problem",child,RED,red,professional-recommended,"TBD",no,none,required,required,required,"Heating fault diagnosis — professional",C,no
282,"Oven Maintenance / Repair","Oven Heating Element Replacement","oven-heating-element-replacement",child,RED,red,professional-recommended,"TBD",no,none,required,required,required,"Oven element/gas/electrical internals — specialist",C,no
283,"Oven Maintenance / Repair","Oven Thermostat Repair","oven-thermostat-repair",child,RED,red,professional-recommended,"TBD",no,none,required,required,required,"Oven element/gas/electrical internals — specialist",C,no
284,"Oven Maintenance / Repair","Oven Door Repair","oven-door-repair",child,RED,red,professional-recommended,"TBD",no,none,required,required,required,"Heating fault diagnosis — professional",C,no
285,"Oven Maintenance / Repair","Oven Door Seal Replacement","oven-door-seal-replacement",child,YELLOW,yellow,limited-troubleshooting,"TBD",no,none,required,required,required,"Seal visual / PM framing",C,no
286,"Oven Maintenance / Repair","Oven Fan Repair","oven-fan-repair",child,RED,red,professional-recommended,"TBD",no,none,required,required,required,"Oven element/gas/electrical internals — specialist",C,no
287,"Oven Maintenance / Repair","Oven Timer Problem","oven-timer-problem",child,RED,red,professional-recommended,"TBD",no,none,required,required,required,"Heating fault diagnosis — professional",C,no
288,"Oven Maintenance / Repair","Oven Control Panel Problem","oven-control-panel-problem",child,RED,red,professional-recommended,"TBD",no,none,required,required,required,"Oven element/gas/electrical internals — specialist",C,no
289,"Oven Maintenance / Repair","Oven Electrical Fault Diagnosis","oven-electrical-fault-diagnosis",child,RED,red,professional-recommended,"TBD",no,none,required,required,required,"Oven element/gas/electrical internals — specialist",C,no
290,"Oven Maintenance / Repair","Gas Oven Inspection","gas-oven-inspection",child,RED,red,professional-recommended,"TBD",no,none,required,required,required,"Oven element/gas/electrical internals — specialist",C,no
291,"Oven Maintenance / Repair","Oven Cleaning","oven-cleaning",child,GREEN,green,step-by-step,"TBD",no,none,required,required,optional,"Cool oven cleaning / visual",C,no
292,"Oven Maintenance / Repair","Oven Preventive Maintenance","oven-preventive-maintenance",child,YELLOW,yellow,limited-troubleshooting,"TBD",no,none,required,required,required,"Seal visual / PM framing",C,no
293,"Burner / Cooker Maintenance / Repair","Gas Cooker Inspection","gas-cooker-inspection",child,RED,red,professional-recommended,"TBD",no,none,required,required,required,"Gas path / leak / valve / hose / flame — specialist safety review mandatory",C,no
294,"Burner / Cooker Maintenance / Repair","Gas Burner Cleaning","gas-burner-cleaning",child,YELLOW,yellow,limited-troubleshooting,"TBD",no,none,required,required,optional,"Cool-surface cleaning / cosmetic knob — after review; stop if gas smell",C,no
295,"Burner / Cooker Maintenance / Repair","Gas Burner Repair","gas-burner-repair",child,RED,red,professional-recommended,"TBD",no,none,required,required,required,"Gas path / leak / valve / hose / flame — specialist safety review mandatory",C,no
296,"Burner / Cooker Maintenance / Repair","Gas Burner Replacement","gas-burner-replacement",child,RED,red,professional-recommended,"TBD",no,none,required,required,required,"Gas path / leak / valve / hose / flame — specialist safety review mandatory",C,no
297,"Burner / Cooker Maintenance / Repair","Gas Cooker Ignition Repair","gas-cooker-ignition-repair",child,RED,red,professional-recommended,"TBD",no,none,required,required,required,"Gas path / leak / valve / hose / flame — specialist safety review mandatory",C,no
298,"Burner / Cooker Maintenance / Repair","Gas Flame Problem Diagnosis","gas-flame-problem-diagnosis",child,RED,red,professional-recommended,"TBD",no,none,required,required,required,"Gas path / leak / valve / hose / flame — specialist safety review mandatory",C,no
299,"Burner / Cooker Maintenance / Repair","Uneven Flame Diagnosis","uneven-flame-diagnosis",child,RED,red,professional-recommended,"TBD",no,none,required,required,required,"Gas path / leak / valve / hose / flame — specialist safety review mandatory",C,no
300,"Burner / Cooker Maintenance / Repair","Gas Leakage Inspection","gas-leakage-inspection",child,RED,red,professional-recommended,"TBD",no,none,required,required,required,"Gas path / leak / valve / hose / flame — specialist safety review mandatory",C,no
301,"Burner / Cooker Maintenance / Repair","Gas Hose Inspection","gas-hose-inspection",child,RED,red,professional-recommended,"TBD",no,none,required,required,required,"Gas path / leak / valve / hose / flame — specialist safety review mandatory",C,no
302,"Burner / Cooker Maintenance / Repair","Gas Hose Replacement","gas-hose-replacement",child,RED,red,professional-recommended,"TBD",no,none,required,required,required,"Gas path / leak / valve / hose / flame — specialist safety review mandatory",C,no
303,"Burner / Cooker Maintenance / Repair","Gas Valve Inspection","gas-valve-inspection",child,RED,red,professional-recommended,"TBD",no,none,required,required,required,"Gas path / leak / valve / hose / flame — specialist safety review mandatory",C,no
304,"Burner / Cooker Maintenance / Repair","Gas Valve Replacement","gas-valve-replacement",child,RED,red,professional-recommended,"TBD",no,none,required,required,required,"Gas path / leak / valve / hose / flame — specialist safety review mandatory",C,no
305,"Burner / Cooker Maintenance / Repair","Cooker Knob Replacement","cooker-knob-replacement",child,YELLOW,yellow,limited-troubleshooting,"TBD",no,none,required,required,optional,"Cool-surface cleaning / cosmetic knob — after review; stop if gas smell",C,no
306,"Burner / Cooker Maintenance / Repair","Cooker Igniter Repair","cooker-igniter-repair",child,RED,red,professional-recommended,"TBD",no,none,required,required,required,"Gas path / leak / valve / hose / flame — specialist safety review mandatory",C,no
307,"Burner / Cooker Maintenance / Repair","Gas Cooker Cleaning","gas-cooker-cleaning",child,YELLOW,yellow,limited-troubleshooting,"TBD",no,none,required,required,optional,"Cool-surface cleaning / cosmetic knob — after review; stop if gas smell",C,no
308,"Burner / Cooker Maintenance / Repair","Hob Cleaning","hob-cleaning",child,YELLOW,yellow,limited-troubleshooting,"TBD",no,none,required,required,optional,"Cool-surface cleaning / cosmetic knob — after review; stop if gas smell",C,no
309,"Burner / Cooker Maintenance / Repair","Glass Hob Maintenance","glass-hob-maintenance",child,YELLOW,yellow,limited-troubleshooting,"TBD",no,none,required,required,optional,"Cool-surface cleaning / cosmetic knob — after review; stop if gas smell",C,no
310,"Burner / Cooker Maintenance / Repair","Electric Cooker Repair","electric-cooker-repair",child,REVIEW_REQUIRED,review_required,review-required,"TBD",no,none,required,required,required,"Electric/induction repair steps — REVIEW_REQUIRED (not gas RED but still hazardous)",D,yes
311,"Burner / Cooker Maintenance / Repair","Induction Cooker Inspection","induction-cooker-inspection",child,REVIEW_REQUIRED,review_required,review-required,"TBD",no,none,required,required,required,"Electric/induction repair steps — REVIEW_REQUIRED (not gas RED but still hazardous)",D,yes
